[2022-09-05T12:33:13Z TRACE mio::poll] registering event source with poller: token=Token(1), interests=READABLE | WRITABLE
[2022-09-05T12:33:13Z DEBUG ltwc::robot] robot start
[2022-09-05T12:33:13Z DEBUG ltwc::robot] start sending key
[2022-09-05T12:33:22Z DEBUG ltwc::robot] send_key finish
[2022-09-05T12:33:26Z DEBUG ltwc::robot] ports = "{\"connections\":[{\"procotol\":\"tcp\",\"port\":8888}]}"
[2022-09-05T12:33:26Z INFO  ltwc::robot] start successfully
[2022-09-05T12:34:09Z TRACE mio::poll] registering event source with poller: token=Token(2), interests=READABLE | WRITABLE
[2022-09-05T12:34:09Z TRACE mio::poll] registering event source with poller: token=Token(3), interests=READABLE | WRITABLE
[2022-09-05T12:34:09Z TRACE mio::poll] registering event source with poller: token=Token(4), interests=READABLE | WRITABLE
[2022-09-05T12:34:09Z TRACE mio::poll] registering event source with poller: token=Token(5), interests=READABLE | WRITABLE
[2022-09-05T12:34:09Z DEBUG ltwc::task] remote read
[2022-09-05T12:34:09Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] remote read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] remote read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
[2022-09-05T12:34:10Z DEBUG ltwc::task] local read
